n	signature	member	kind	quality	statement	other_statements	recorded_at	n_places	origins	verified_labels	unverified_label_guesses	pinned	deviations_txt	sources	from_notes_tsv_row
267	MONO_VECTOR / MONO_ARRAY / MONO_ARRAY2	BoolVector.vector, IntVector.vector … ; arrays; <Mono>Array2; <Mono>Vector.vector; RealVector, RealArray; <Mono>Array2 instances; <Mono>Array.array; BoolVector, BoolArray, slices, BoolArray2; IntVector, IntArray, slices, IntArray2; Int16Vector family; Int32Vector family; Int64Vector family; Int8Vector family; LargeIntVector family; LargeRealVector family; LargeWordVector family; Real32Vector family; Real64Vector family; CharVector, Word8Vector; WordVector family; Word16Vector family; Word32Vector family; Word64Vector family	Deviation	note	A mono vector is a Vector.vector of the elements, a mono array an Array.array, transparently; Int64Vector = IntVector, Word64Vector = LargeWordVector = WordVector, Real64Vector = LargeRealVector = RealVector.	[lib] Traversal and semantics are those of Array2, which the spec requires to exist alongside any MONO_ARRAY2 structure. || [lib] MONO_VECTOR says `type vector`, not eqtype, so element types without equality (RealVector) are allowed. || [lib] Real elements do not admit equality, which MONO_VECTOR and MONO_ARRAY do not demand. || [lib] Not sealed with MONO_ARRAY2 (signature loaded later); the array type is transparently an Array2.array. || [lib] Every monomorphic array is a polymorphic array of its element type. || [lib] Optional family provided; the vector is a polymorphic vector, the array a polymorphic array. || [lib] Optional family provided. || [lib] Optional family provided. || [lib] Optional family provided. || [lib] Optional; identical to the Int family, since Int64 is Int. || [lib] Optional family provided. || [lib] Optional family provided, over IntInf.int. || [lib] Optional; identical to the Real family. || [lib] Optional; identical to the Word family. || [lib] Optional family provided. || [lib] Optional; identical to the Real family. || [lib] A vector of characters or bytes is a string. || [lib] Optional family provided. || [lib] Optional family provided. || [lib] Optional family provided. || [lib] Optional; identical to the Word family.	docs/basis-compat.md:203-205; docs/language.md:245-259; lib/basis/mono_*.sml:1-5; lib/basis/mono_array2_fn.sml:1-8; lib/basis/mono_array_fn.sml:4; lib/basis/mono_bool.sml:1-4; lib/basis/mono_int.sml:1-3; lib/basis/mono_int16.sml:1-2; lib/basis/mono_int32.sml:1-2; lib/basis/mono_int64.sml:1-2; lib/basis/mono_int8.sml:1-2; lib/basis/mono_largeint.sml:1-2; lib/basis/mono_largereal.sml:1-2; lib/basis/mono_largeword.sml:1-2; lib/basis/mono_poly_vector_fn.sml:4-6; lib/basis/mono_real.sml:1-5; lib/basis/mono_real32.sml:1-2; lib/basis/mono_real64.sml:1-2; lib/basis/mono_vector_fn.sml:4; lib/basis/mono_word.sml:1-4; lib/basis/mono_word16.sml:1-2; lib/basis/mono_word32.sml:1-2; lib/basis/mono_word64.sml:1-2	23	docs,lib-body			no	no	lib,mine	55
268	MONO_ARRAY2	BoolArray2 … (sealing)	Deviation	note	The Array2 family structures are not sealed with MONO_ARRAY2 (the generated signature loads after them); they match it.		docs/language.md:245; lib/basis/mono_array2_fn.sml:1-8	2	docs,lib-body		<X>Array2:MONO_ARRAY2/*	no	no	mine	56
269	MONO_VECTOR (WideCharVector)	WideCharVector.vector; WideCharVector	Deviation	note	Sealed with MONO_VECTOR_EQ (vector admits equality) so that WideString.string is a type name string constants overload at.	[lib] Opaquely sealed with MONO_VECTOR_EQ so that WideString.string is a fresh type name (needed to overload wide string constants).	docs/language.md:273; lib/basis/widechar.sml:30-31	2	docs,lib-body		none	no	no	lib,mine	57
270	MONO_VECTOR	Word8Vector.vector, CharVector.vector; CharVector; Word8Vector	Deviation	note	Word8Vector.vector = CharVector.vector = string, transparently (Word8Vector : MONO_VECTOR, not :>): Byte is free, BinIO shares TextIO's streams.	[lib] CharVector.vector is string. || [lib] A vector of bytes is a string.	docs/basis-compat.md:201; docs/language.md:31,236; lib/basis/charvector.sml:1; lib/basis/word8vector.sml:1,2	6	docs,lib-body		none	no	no	lib,mine	54
271	MONO_VECTOR	signature MONO_VECTOR_EQ	Deviation	note	Extra non-spec signature: MONO_VECTOR with an eqtype vector, for families whose vector is a type of its own.		lib/basis/mono_sigs.sml:59-62	1	lib-signature			no		lib	
272	NET_HOST_DB	NetHostDB.in_addr, addr_family; NetHostDB.in_addr	Deviation	note	Transparent: in_addr = string, addr_family = int.	[lib] Represented as canonical dotted-decimal text, which is what the system calls take; equal addresses are equal strings.	lib/basis/netdb.sml:12-14,12	1	lib-body			no		lib	
273	OS / POSIX_ERROR	OS.syserror, Posix.Error.syserror; Posix.Error.syserror	Deviation	note	syserror = int (errno), transparent.	[lib] An errno value, the one OS.SysErr carries.	lib/basis/posix_error.sml:1-2	1	lib-body			no		lib	
274	OS_FILE_SYS	OS.FileSys.file_id	Deviation	note	Transparent int * int (device, inode).		lib/basis/osfilesys.sml:74-75	1	lib-body			no		lib	
275	OS_PROCESS / POSIX_PROCESS	OS.Process.status; Posix.Process.fromStatus; OS.Process.status	Deviation	note	A transparent int rather than an abstract type (os.sml:16).	[lib] status int encoding: 0 success, 1-255 exit code, 256+signal killed, 512+signal stopped.	lib/basis/posix_process.sml:39-41	1	lib-body			no		lib	
276	POSIX	Posix	Deviation	note	Not sealed with POSIX: uid, gid, pid, file_desc, signal, speed are int and flag sets are word, all transparent (from source; cf. sig_posix.sml).		lib/basis/posix.sml:1-12	1	lib-body			no		lib	
277	STREAM_IO functor / IMPERATIVE_IO / PRIM_IO	functor StreamIO; functors PrimIO, StreamIO, ImperativeIO	Deviation	note	Takes VectorSlice and ArraySlice besides the spec's arguments (as MLton: the spec's arguments give no way to make the vector slices a writer takes); its PrimIO must have pos = Position.int.	[lib] Takes extra VectorSlice and ArraySlice arguments (like MLton) and requires PrimIO.pos = Position.int; the spec's functor has neither. || [lib] The optional functors are provided.	docs/basis-compat.md:231-233; docs/language.md:229; lib/basis/io_functors.sml:1-11; tests/basis/io_functors.sml:2-9	4	docs,lib-body,tests			no	no	lib,mine	52
278	REAL	Real	Deviation	stale-comment	Members that Rune lacks, like those needing IEEEReal, LargeInt or LargeReal, are put in test sections of their own so they can be switched off; where the page defers to IEEE 754-1985, double precision is expected.		tests/basis/real.sml:2-10	1	tests		(no label, the sections in real.sml are rem, muladd, unordered-exn, comparereal, qeq, unordered, class, manexp, manexp-huge, split, nextafter, rounding-modes, tolargeint, tolargeint-huge, fromlargeint, large, largereal)	no		testsB	
279	STREAM_IO	StreamIO.mkOutstreamOver	Deviation	note	Extra member not in STREAM_IO: an outstream over a VM file that leaves all buffering to the VM.		lib/basis/streamio_fn.sml:257-258	1	lib-body			no		lib	
280	TEXT_IO / BIN_IO	TextIO.instream, BinIO.instream, outstream	Deviation	note	instream/outstream are datatypes, not abstract: an instream (a ref) admits equality, an outstream does not.		docs/basis-compat.md:206; docs/language.md:31; lib/basis/imperativeio_fn.sml:10-11; lib/basis/textio.sml:48-49	4	docs,lib-body		none	no	no	mine	53
281	TIME	Time.time	Deviation	note	Not abstract: type time = int; structure unsealed; extra members micros and ofMicros (time.sml:45-47).		lib/basis/time.sml:4	1	lib-body			no		lib	
282	TIMER	Timer.cpu_timer, real_timer	Deviation	note	Transparent: a record of two times, and Time.time; structure unsealed (from source).		lib/basis/timer.sml:4-5	1	lib-body			no		lib	
283	UNIX	Unix.protect, Unix.streamsOf'	Deviation	note	Extra members beyond UNIX; structure unsealed, so signal = Posix.Signal.signal is visible (from source).		lib/basis/unix.sml:74-84	1	lib-body			no		lib	
284	(top level)	overloading, literals	Implementation-defined	note	Int/word/real/char/string constants are overloaded over the library's _overload types (IntInf, IntN, WordN, Real32, WideChar, WideString); `~` overloaded at int, word, real.		docs/language.md:22,26	2	docs		tests/lang	no	no	mine	92
285	ARRAY / VECTOR / ARRAY2	maxLen; Array.maxLen; Vector.maxLen	Implementation-defined	note	Array.maxLen = Vector.maxLen = 100000000 (VM limit, vm/prims.def); an Array2 is one such array, row-major.	[lib] 100000000 (from source). || [lib] 100000000; the polymorphic-backed monomorphic vectors and arrays inherit it (from source). || [testsA] maxLen is implementation-defined; the test only requires that any length array accepts (1000) is at most maxLen. || [testsB] maxLen itself is implementation-defined; it is only checked that a length tabulate accepts is at most maxLen.	docs/basis-compat.md:401; docs/language.md:209,235; lib/basis/array.sml:6; lib/basis/vector.sml:5; tests/basis/array.sml:305-306; tests/basis/vector.sml:214-215	7	docs,lib-body,tests	Array.maxLen/covers-created-arrays, Vector.maxLen/covers-created-vectors		yes	no	lib,mine,testsA,testsB	71
286	ARRAY2	Array2.array	Implementation-defined	note	"""Too large"" is implementation-defined; the test uses Int.maxInt rows by Int.maxInt or 2 columns, too large everywhere (element count not an int). tabulate must raise Size before 1000 applications of f."		tests/basis/array2.sml:684-687	1	tests	Array2.array/Size-too-large, Array2.array/Size-too-large-rows, Array2.array/Size-too-large-columns, Array2.tabulate/Size-too-large-RowMajor, Array2.tabulate/Size-too-large-ColMajor		yes		testsA	
287	BIN_IO	BinIO.output	Implementation-defined	note	Bytes are the characters with the same codes: on POSIX there is no translation between BinIO and TextIO for all 256 values.		tests/basis/binio.sml:241	1	tests	BinIO.output/read-back-as-text, BinIO.inputAll/written-as-text		yes		testsA	
288	TEXT_IO / BIN_IO	TextIO positions (getPosIn etc.); BinIO.openIn, openOut, openAppend	Implementation-defined	note	File readers/writers have positions in bytes from the start of the file (ftell/fseek) when the file has them; a pipe or terminal has none.	[lib] The writer writes through to the VM's file, which does the buffering; nominal mode BLOCK_BUF; positions only when the file has them.	docs/language.md:211; lib/basis/binio.sml:40-42	2	docs,lib-body		TextIO.StreamIO.filePosIn/*	no	no	lib,mine	83
289	BYTE	Byte	Implementation-defined	note	Word8Vector.vector is string, so whole-vector conversions are free identities.		lib/basis/byte.sml:1-2	1	lib-body			no		lib	
290	CHAR	Char	Implementation-defined	note	8-bit characters (maxOrd 255).		lib/basis/char.sml:150	1	lib-body			no		lib	
291	CHAR (WideChar)	WideChar.char, maxOrd; WideChar.maxOrd	Implementation-defined	note	A wide character is a Unicode code point in a type of its own, maxOrd = 0x10FFFF; WideString = WideCharVector.vector, WideSubstring = WideCharVectorSlice.slice; no WideCharArray2 (spec has none).	[testsB] The character set of WideChar is pinned as Unicode (maxOrd = 1114111).	docs/basis-compat.md:223-229; docs/language.md:268-273; tests/basis/widechar_sig.sml:3-6	3	docs,tests	WideChar.maxOrd/0x10FFFF, WideChar:CHAR/maxOrd-is-Unicode		yes	no	mine,testsB	91
292	CHAR / STRING	Char.char, String.string	Implementation-defined	note	8-bit characters (maxOrd 255); strings are immutable byte sequences; \uXXXX above 255 is a compile-time error at the 8-bit types.		docs/basis-compat.md:199; docs/language.md:22-23	2	docs	Char.maxOrd/255		yes	no	mine	59
293	COMMAND_LINE	CommandLine.name	Implementation-defined	note	The program name is system-dependent; the test only requires some non-empty name that is the same every time.		tests/basis/commandline.sml:7-8	1	tests	CommandLine.name/nonempty, CommandLine.name/stable		yes		testsA	
294	DATE	Date (calendar, offset)	Implementation-defined	note	Calendar of the C library; local time is the system's zone; UTC and offset dates by proleptic Gregorian arithmetic; an offset is time WEST of UTC; %Z of an offset date is the local zone name.		docs/language.md:216; lib/basis/date.sml:161-163	2	docs,lib-body		Date.*	no	no	mine	75
295	DATE	Date.fmt, fromTimeLocal, toTime	Implementation-defined	note	The C library does the work: strftime for formatting, its local-time conversion for local dates.		lib/basis/date.sml:52-54	1	lib-body			no		lib	
296	DATE	Date.fromTimeLocal	Implementation-defined	note	The local time zone is whatever the machine has; checks of local dates are written to hold in every zone (offset NONE, whole minutes, under a day from UTC).		tests/basis/date.sml:347-350	1	tests	Date.fromTimeLocal/offset-is-NONE, Date.fromTimeLocal/toTime-inverts, Date.fromTimeLocal/differs-from-UTC-by-less-than-a-day, Date.fromTimeLocal/differs-from-UTC-by-whole-minutes, Date.date/offset-of-the-local-zone, Date.localOffset/whole-minutes		yes		testsA	
297	DATE	Date.fromTimeLocal	Implementation-defined	note	Sample times are chosen away from every zone's daylight-saving changes: 15 January and 15 July 2001 at noon UTC, and now to the second.		tests/basis/date.sml:351-352	1	tests	Date.fromTimeLocal/same-weekDay-and-yearDay-as-the-fields, Date.toTime/local-date, Date.toTime/local-date-in-January		yes		testsA	
298	DATE	Date.fromTimeUniv	Implementation-defined	borderline	Assumes the machine's clock shows a date from 2020 up to (not including) 2200.		tests/basis/date.sml:280	1	tests	Date.fromTimeUniv/now-is-after-2020		yes		testsA	
299	DATE	Date.isDst	Implementation-defined	note	Assumes no time zone has daylight saving time in both January and July.		tests/basis/date.sml:385	1	tests	Date.isDst/not-both-January-and-July		yes		testsA	
300	GENERAL	General.Overflow	Implementation-defined	note	Precision of int is implementation-defined: where int has no bounds (maxInt = NONE) nothing overflows, and the check raises Overflow itself.		tests/basis/general.sml:113-115	1	tests	General.Overflow/maxInt-plus-one, General.Overflow/minInt-minus-one, General.Overflow/maxInt-times-two, General.Overflow/maxInt-minus-minInt, General.Overflow/maxInt-itself-is-fine		yes		testsA	
301	GENERAL	General.Size	Implementation-defined	note	Where Array.maxLen + 1 is not representable as an int, the check raises Size itself instead of calling Array.array.		tests/basis/general.sml:138-139	1	tests	General.Size/Array.array-above-maxLen		yes		testsA	
302	GENERAL	exnMessage	Implementation-defined	note	"""Fail: "" ^ s for Fail s; otherwise just exnName."		lib/basis/pervasive.sml:83	1	lib-body			no		lib	
303	GENERIC_SOCK	GenericSock.socket'	Implementation-defined	note	6 and 17 are taken as the protocol numbers of TCP and UDP; sockets use loopback or names in the current directory.		tests/basis/inetsock_generic.sml:3-7	1	tests	GenericSock.socket'/inet-stream-tcp, GenericSock.socket'/inet-dgram-udp		yes		testsA	
304	IEEE_REAL	IEEEReal.setRoundingMode, getRoundingMode	Implementation-defined	note	The rounding mode is the C library's (fesetround/fegetround).		docs/language.md:202	1	docs		none	no	no	mine	70
305	INET_SOCK	INetSock.UDP.socket'	Implementation-defined	note	Protocol number 17 is assumed to be UDP (IANA); 0 is equivalent to socket().		tests/basis/inetsock.sml:91-93	1	tests	INetSock.UDP.socket'/udp-protocol, INetSock.UDP.socket'/zero-dgram, INetSock.UDP.socket'/zero-works		yes		testsA	
306	INTEGER	Int.precision, minInt, maxInt; Int64; Int; Int64, FixedInt	Implementation-defined	note	Int.int has 64 bits (precision = SOME 64), Overflow checked; Position = Int; Int64 = FixedInt = Int.	"[testsA] Rune's Int has 64 bits, so Int64 (and FixedInt) are Int itself; the file pins only precision = SOME 64, with no separate ""constants"" section unlike Int8/16/32. || [lib] 64-bit ints with Overflow checking (precision SOME 64); bounds computed by the arithmetic itself. || [lib] Both are Int itself (64 bits)."	docs/basis-compat.md:17,193,195; docs/language.md:22,199,263; lib/basis/int.sml:1,1-4,15; lib/basis/int64.sml:1-2; tests/basis/intn_int64.sml:11	10	docs,lib-body,tests	Int64.precision/64	none	yes	no	lib,mine,testsA	64
307	INTEGER	Int8, Int16, Int32	Implementation-defined	note	An int kept within the precision by a functor; Overflow beyond it; constants range-checked at compile time (_overload).	[lib] Provided; held in a 64-bit int and range-checked after every operation.	docs/basis-compat.md:195; docs/language.md:263; lib/basis/intn_fn.sml:1-4	3	docs,lib-body		none	no	no	lib,mine	66
308	INTEGER (IntN)	Int8/16/32.scan, fromString; Int8.scan, Int16.scan, Int32.scan	Implementation-defined	note	Overflow beyond the precision, and already beyond 64 bits from Int.scan.	[lib] Overflow is raised both beyond 64 bits (by Int.scan) and for values beyond the structure's precision.	lib/basis/intn_fn.sml:49-50	1	lib-body		<IntN>.scan/Overflow*	no	no	lib,mine	130
309	INTEGER / INT_INF	LargeInt; IntInf, LargeInt	Implementation-defined	note	LargeInt = IntInf (arbitrary precision; a datatype of sign and base-2^30 limbs written in SML).	[lib] Written in SML: sign plus little-endian base-2^30 limbs, canonical so structural equality is value equality; precision NONE; LargeInt = IntInf.	docs/basis-compat.md:193,200; docs/language.md:199,263-264; lib/basis/intinf.sml:1-9	5	docs,lib-body		IntInf alias check in intinf_sig	no	no	lib,mine	65
310	INTEGER	Position	Implementation-defined	note	Position = Int (64 bits).		lib/basis/position.sml:1	1	lib-body			no		lib	
311	INT_INF	IntInf	Implementation-defined	borderline	Literals and overloaded operators at IntInf.int are not available on every system, so numbers are built with fromInt, fromString and arithmetic.		tests/basis/intinf.sml:3-10	1	tests		(file-wide, no single label)	no		testsA	
312	MATH	Math.asin	Implementation-defined	note	The closed-interval range bounds [-pi/2, pi/2] and [0, pi] are checked with 1E~15 slack to allow for the rounding of pi.		tests/basis/math.sml:146-148	1	tests	Math.asin/law-range-and-inverse, Math.acos/law-range-and-inverse		yes		testsA	
313	MATH	Math.pi	Implementation-defined	note	The double nearest to pi differs from pi by 1.2E~16; pi and e must lie within 4.5E~16 of the true constants.		tests/basis/math.sml:46	1	tests	Math.pi/nearest-double, Math.e/nearest-double		yes		testsA	
314	MATH	Math.sqrt	Implementation-defined	note	IEEE 754 requires a correctly rounded square root, so exact squares must give exact roots (exact equality, not approx).		tests/basis/math.sml:54-55	1	tests	Math.sqrt/four, Math.sqrt/quarter, Math.sqrt/one		yes		testsA	
315	MATH	Math.tanh	Implementation-defined	note	For large finite x, where sinh and cosh both overflow, tanh must still be 1 (or ~1) within relative error 1E~9.		tests/basis/math.sml:405-406	1	tests	Math.tanh/large, Math.tanh/large-negative		yes		testsA	
316	MONO_ARRAY	MONO_ARRAY.maxLen	Implementation-defined	note	maxLen is only checked indirectly: a length that array accepts is at most maxLen.		tests/basis/fn/mono_array_fn.sml:336-337	1	tests	<name>.maxLen/covers-created-arrays		yes		testsB	
317	MONO_ARRAY	Word8Array.array	Implementation-defined	note	An array of Word8.word, one VM value per byte (compact byte array planned).		docs/basis-compat.md:202; docs/language.md:238; docs/plans/basis.md:18	3	docs		none	no	no	mine	73
318	MONO_ARRAY2	CharArray2	Implementation-defined	note	Optional structure provided; rows and columns are strings.		lib/basis/chararray2.sml:1-2	1	lib-body			no		lib	
319	MONO_ARRAY2	MONO_ARRAY2.array	Implementation-defined	note	"""Too large"" is implementation-defined; the test uses Int.maxInt rows by Int.maxInt or 2 columns, too large everywhere since the element count is not an int."		tests/basis/fn/mono_array2_fn.sml:817-820	1	tests	<name>.array/Size-too-large, <name>.array/Size-too-large-rows, <name>.array/Size-too-large-columns, <name>.tabulate/Size-too-large-RowMajor, <name>.tabulate/Size-too-large-ColMajor		yes		testsB	
320	MONO_ARRAY2	Word8Array2	Implementation-defined	note	Optional structure provided; rows and columns are Word8Vector.vector.		lib/basis/word8array2.sml:1-2	1	lib-body			no		lib	
321	MONO_VECTOR	MONO_VECTOR.maxLen	Implementation-defined	note	maxLen is only checked indirectly: a length that tabulate accepts is at most maxLen.		tests/basis/fn/mono_vector_fn.sml:227-228	1	tests	<name>.maxLen/covers-created-vectors		yes		testsB	
322	MONO_VECTOR (RealVector)	RealVector.vector	Implementation-defined	note	Vectors of reals admit no equality (MONO_VECTOR asks none); the arrays do (identity).		docs/language.md:257; lib/basis/mono_real.sml:1-5	2	docs,lib-body		none	no	no	mine	58
323	MONO_VECTOR_SLICE	CharVectorSlice	Implementation-defined	note	Its slice is Substring.substring; written on Substring rather than as a functor instance.		lib/basis/charvectorslice.sml:1-3	1	lib-body			no		lib	
324	MONO_VECTOR_SLICE	Word8VectorSlice	Implementation-defined	note	A slice is a substring; taking its vector is one primitive.		lib/basis/word8vectorslice.sml:1-3	1	lib-body			no		lib	
325	NET_HOST_DB	NetHostDB.getHostName	Implementation-defined	note	"The ""standard hostname"" is taken to be the nodename that Posix.ProcEnv.uname reports."		tests/basis/netdb.sml:129	1	tests	NetHostDB.getHostName/uname		yes		testsA	
326	NET_HOST_DB	NetHostDB.in_addr, scan, addrs; NetHostDB.scan, fromString; NetHostDB.in_addr, scan; INetSock	Implementation-defined	note	in_addr is the canonical dotted text of an IPv4 address (so = compares addresses); scan reads a, a.b, a.b.c, a.b.c.d in decimal/octal/hex; addrs gives every IPv4 address.	[lib] Accepts C inet_addr notation (a, a.b, a.b.c, a.b.c.d; decimal, 0-octal, 0x-hex), takes the longest fitting prefix, canonicalises to four decimal bytes. || [lib] IPv4 only: addresses are four-byte dotted text and INetSock uses AF_INET (inetsock.sml:20).	docs/basis-compat.md:210; docs/language.md:225; lib/basis/netdb.sml:25-31	3	docs,lib-body		NetHostDB.scan/*	no	no	lib,mine	86
327	OS	OS.FileSys.access	Implementation-defined	note	Permission-bit checks hold only for a process that is not the super-user, who may read and write regardless of the bits; the write check is guarded.		tests/basis/os.filesys.sml:507-508	1	tests	OS.FileSys.A_EXEC/without-execute-bit, OS.FileSys.A_EXEC/with-execute-bit, OS.FileSys.A_WRITE/read-only, OS.FileSys.A_READ/read-only		yes		testsA	
328	OS	OS.FileSys.setTime	Implementation-defined	note	A Time.time need not be able to hold the test times (range is implementation-defined), so they are built inside the checks; an exception fails that check only.		tests/basis/os.filesys.sml:254-255	1	tests	OS.FileSys.setTime/SOME, OS.FileSys.setTime/SOME-again, OS.FileSys.setTime/directory		yes		testsA	
329	OS	OS.FileSys.setTime	Implementation-defined	note	"The file system may keep whole seconds only, so ""now"" is checked with one second of slack on either side."		tests/basis/os.filesys.sml:268	1	tests	OS.FileSys.setTime/NONE-is-now		yes		testsA	
330	OS	OS.IO.Kind.device	Implementation-defined	note	/dev/null is taken as a device that is not a terminal: kind device, not tty.		tests/basis/os.io.sml:211-212	1	tests	OS.IO.Kind.device/dev-null, OS.IO.Kind.tty/dev-null		yes		testsA	
331	OS	OS.IO.poll	Implementation-defined	note	"A timeout means ""returns [] after about t"": for t = 0.2 s, anything from 0.15 s up to (not including) 5 s is accepted."		tests/basis/os.io.sml:242-243	1	tests	OS.IO.poll/times-out		yes		testsA	
332	OS	OS.IO.pollDesc	Implementation-defined	note	The file systems of the test matrix can poll a regular file (POSIX poll reports it ready), so pollDesc must be SOME.		tests/basis/os.io.sml:109-110	1	tests	OS.IO.pollDesc/file		yes		testsA	
333	OS_PATH / OS	OS.Path (volumes, Unix syntax); OS.Path; OS.Path.getVolume, validVolume	Implementation-defined	note	"Unix syntax only: separator /, the only volume is """", validVolume accordingly; fromUnixPath/toUnixPath are the identity; text only, no file system access."	"[testsA] Every system of the matrix is a Unix, so only the Unix path syntax is pinned: separator ""/"", the only volume """", arcs "".."" and ""."". || [lib] Pure text manipulation with Unix conventions only: separator ""/"", sole volume """". || [lib] No volumes: getVolume is always """", validVolume is true only for """" (code at 20-21)."	docs/language.md:218; lib/basis/ospath.sml:1-4; tests/basis/os.path.sml:2-11,274	4	docs,lib-body,tests	OS.Path.parentArc/unix, OS.Path.currentArc/unix, OS.Path.validVolume/empty-absolute, OS.Path.validVolume/drive-absolute	OS.Path.fromUnixPath/*	yes	no	lib,mine,testsA	79
334	OS_PROCESS / OS	OS.Process.atExit (actions); OS.Process.atExit	Implementation-defined	note	An action that raises, or registers another action, is ignored; actions run in reverse order.	"[lib] Actions run in reverse order of registration; an action that raises, or registers another action, is ignored. || [testsA] Actions run at exit, not at registration. Reverse order, trapped exceptions and ignored nested atExit are visible only in atexit.txt (""31""), which the runner does not check."	lib/basis/runeexit.sml:22-23; tests/basis/os.process.sml:196-202	2	lib-body,tests	OS.Process.atExit/not-run-at-registration, OS.Process.atExit/action-that-raises, OS.Process.atExit/action-that-registers	OS.Process.atExit/*	yes	no	lib,mine,testsA	129
335	OS	OS.Process.system	Implementation-defined	note	Commands given to system assume a POSIX shell (/bin/sh). exit, terminate and atExit effects cannot be checked in-process.		tests/basis/os.process.sml:2-11	1	tests	OS.Process.system/shell-redirection, OS.Process.system/shell-syntax		yes		testsA	
336	OS	OS.Process.system	Implementation-defined	note	The shell is assumed to report a command it cannot find with a failure status.		tests/basis/os.process.sml:127	1	tests	OS.Process.system/unknown-command		yes		testsA	
337	OS	OS.syserror, errorName, errorMsg; OS.errorName, OS.syserror; OS.syserror	Implementation-defined	note	"A syserror is an errno value; errorName gives the Posix.Error names (""noent""), not the C name (Poly/ML gives ENOENT: HOST-BUG)."	"[lib] errorName is the C errno name lower-cased without E (""noent""; ""toobig"" for E2BIG), or ""error<N>"" for unnamed errnos; same as Posix.Error's. || [lib] Implemented as the exact inverse of errorName, so SOME e = syserror (errorName e), including the invented ""error<N>"" names."	docs/language.md:217; lib/basis/runeerror.sml:1-6,32	3	docs,lib-body		OS.errorName/*	no	no	lib,mine	76
338	OS_FILE_SYS	OS.FileSys	Implementation-defined	note	Every failure raises OS.SysErr with the reason the system gave.		lib/basis/osfilesys.sml:1-2	1	lib-body			no		lib	
339	OS_FILE_SYS	OS.FileSys.fileId	Implementation-defined	note	A file is identified by its device and inode numbers.		lib/basis/osfilesys.sml:74	1	lib-body			no		lib	
340	OS_FILE_SYS	OS.FileSys.file_id, errors; OS.FileSys.fullPath, realPath	Implementation-defined	note	file_id is device + inode; every failure raises OS.SysErr with the errno; realPath follows the page's implementation note; tmpName …	"[lib] Empty path is treated as "".""; fullPath is the canonical link-free path; realPath follows the spec's implementation note (relative in, relative out)."	docs/language.md:219; lib/basis/osfilesys.sml:50-51	2	docs,lib-body		OS.FileSys.*	no	no	lib,mine	80
341	OS_FILE_SYS	OS.FileSys.hash	Implementation-defined	note	device*65599 + inode in wrapping word arithmetic.		lib/basis/osfilesys.sml:80	1	lib-body			no		lib	
342	OS_FILE_SYS	OS.FileSys.modTime, setTime	Implementation-defined	note	Whole-second resolution only (from source).		lib/basis/osfilesys.sml:57-60	1	lib-body			no		lib	
343	OS_IO	OS.IO.iodesc, poll; OS.IO.iodesc	Implementation-defined	note	iodesc is the system's descriptor (datatype FD of int); poll is POSIX poll. CONTRADICTION: language.md:220 still says 'a handle of the VM's file table'.	[lib] An iodesc is a handle of the VM's file table (FD of int).	docs/basis-compat.md:208; lib/basis/os.sml:47; lib/basis/osio.sml:5; lib/basis/runefile.sml:16	4	docs,lib-body		none	no	no	lib,mine	81
344	OS_IO	OS.IO.poll_desc, poll_info	Implementation-defined	note	A descriptor plus event bits: 1 read, 2 write, 4 urgent.		lib/basis/osio.sml:39-40	1	lib-body			no		lib	
345	OS_PATH	OS.Path.fromUnixPath, toUnixPath	Implementation-defined	note	Identity, because the VM runs on Unix.		lib/basis/ospath.sml:172	1	lib-body			no		lib	
346	OS_PATH	OS.Path.validArc (InvalidArc)	Implementation-defined	note	"An arc is valid iff it contains no ""/""."		lib/basis/ospath.sml:16	1	lib-body			no		lib	
347	OS_PROCESS	OS.Process.atExit, exit, terminate; OS.Process.exit, terminate	Implementation-defined	note	atExit actions run at normal end or exit, not on terminate and not after an uncaught exception; buffered streams are flushed at end/OS.Process.exit but not Posix.Process.exit.	[lib] exit runs the atExit actions (and stream flushing); terminate does not.	docs/basis-compat.md:250; docs/language.md:217,229; lib/basis/os.sml:41	4	docs,lib-body		OS.Process.atExit/*	no	no	lib,mine	78
348	OS_PROCESS	OS.Process.system, status	Implementation-defined	note	status of system: exit code, or 256 + signal number (Posix.Process.fromStatus decodes it).		docs/language.md:217	1	docs		OS.Process.system/*	no	no	mine	77
349	PACK_REAL	PackReal*, PackReal32*	Implementation-defined	note	A real is the 8 bytes of binary64 (real_to_bits); a Real32.real the 4 of binary32 via toManExp, a NaN becoming the quiet NaN of its sign.		docs/language.md:265	1	docs	PackReal32*.*/nan*		yes	no	mine	90
350	PACK_REAL	PackReal32Big.toBytes	Implementation-defined	note	Expected bytes are pinned as the IEEE 754 binary32 encodings, most significant byte first when big; bytesPerElem = 4.		tests/basis/fn/pack_real32_fn.sml:1-7	1	tests	<name>.bytesPerElem/four, <name>.toBytes/nan-exponent	<name>.toBytes/<value>, <name>.fromBytes/<value>	yes		testsB	
351	PACK_REAL	PackReal32Big/Little	Implementation-defined	note	4-byte binary32 computed via toManExp; any NaN is packed as the quiet NaN of its sign (payload lost).		lib/basis/pack_real32.sml:1-4	1	lib-body			no		lib	
